new_user_id	movielens_Id	movie_rating
1620	5618	4.41147710642
9	53125	4.27963650882
1057	88810	4.82659770432
1556	8665	3.77517470419
484	8491	4.27728909199
35	3462	3.69414958331
773	1214	4.31752964064
1079	6187	3.92496270881
387	5952	3.79610526354
1690	112171	4.33548445656
718	69844	4.3411132408
563	1204	4.41003006115
1581	112290	3.92743974331
945	109487	4.38645827523
199	73881	4.44355663729
139	1	4.18769187011
864	112552	4.22292664807
833	356	3.97353751088
54	923	4.23465054258
1388	912	4.40823656646
926	318	4.62363616881
782	59421	4.82466779374
1349	3030	4.84319986794
550	1212	4.67939224429
1475	1704	4.41729415935
1106	4993	4.18077213525
218	63082	4.62096349696
188	1945	4.72575238019
395	4321	4.54796575126
1720	1225	4.19345249776
1000	924	3.91621549745
335	5400	3.77854787483
1100	66371	4.29447723318
478	111	4.11187036846
1650	97225	4.10985233021
347	33660	4.17919318257
477	2019	4.02930221892
773	1288	4.14945127678
1659	5995	3.82061463429
1522	858	4.19702171777
1728	595	4.45594140812
838	1198	3.99870368395
1702	50	4.17529188389
944	79132	5.03786871474
171	104879	3.71268036647
137	3275	4.63450627882
908	104944	4.03622486277
1261	922	3.83730501418
327	2710	4.53869896375
1156	4011	4.00148880288
599	98154	3.98688110538
94	5630	4.6090579881
106	32	4.35313302527
1483	1219	3.82838822358
294	527	4.52494433806
1325	100244	4.52596066599
15	66371	4.2641600927
92	33615	4.53919079217
669	69844	4.5134769802
85	940	4.35506136509
1221	2916	4.36981984322
1517	7143	4.30299189073
1301	30749	4.94542489328
1528	527	4.532895765
815	8228	3.41210949585
891	80549	4.61035044816
911	7361	4.7901721023
341	47610	4.3132488531
1606	54001	4.45163860417
1150	5291	4.25078527052
197	608	4.80250782577
506	72226	4.95527344172
1570	68157	4.95967390351
114	102716	4.88114694952
495	48516	4.60147638368
733	1584	3.96136958845
1105	33863	6.60661731429
924	750	3.92611520907
505	55290	4.84818119047
932	97304	4.36711985131
1008	3176	3.74572442582
1352	1276	3.85020974162
238	56152	4.79070446952
402	104944	3.69639932169
1454	115617	4.42827659563
665	8125	4.47366917949
1691	72011	3.99148817532
867	2571	4.65821668244
1006	88810	4.1162882524
216	1207	4.47282400909
310	5618	4.14969721977
182	1200	4.92320403748
107	296	4.10561426061
522	3307	4.15261879361
276	99114	3.92233640399
922	55290	4.45448610487
1331	7766	4.69904300075
1057	56607	4.41383006529
1375	3435	4.34362100702
924	3996	4.24742296689
1263	119145	4.13449546159
614	2571	3.9924954245
1607	65216	4.50599739751
1518	1148	3.7717422128
1512	3591	4.1913686409
399	111362	4.56667245757
818	1210	4.21371040878
418	101895	5.02936033261
332	1197	4.73839394468
1685	91658	5.02128545995
