1383	3.5	4.0	3.5	4.0	5.0
568	1.5	2.5	5.5	4.5	5.5
640	5.5	1.5	6.5	5.5	5.5
246	3.5	3.0	4.0	4.5	4.5
663	4.0	1.0	4.5	3.0	5.5
78	1.5	1.0	4.0	4.0	2.5
213	2.5	3.5	2.0	6.0	6.0
135	2.5	1.0	2.5	6.5	4.0
1330	2.0	3.0	5.5	5.0	5.0
238	4.0	0.5	2.5	3.0	5.5
1091	1.5	1.0	6.5	4.5	4.0
1358	2.5	5.0	3.5	5.0	5.5
115	2.5	3.0	2.5	4.0	5.5
732	4.5	2.5	5.5	5.0	4.5
910	4.0	3.0	4.5	6.5	6.5
493	4.5	1.0	4.5	7.0	5.5
183	4.0	3.0	4.0	4.0	4.0
1224	3.0	1.0	5.0	5.0	5.0
934	4.0	1.0	4.0	5.0	4.5
492	4.0	2.5	5.0	3.5	6.0
1654	6.0	3.5	4.5	2.5	6.0
1545	4.0	1.5	4.5	6.5	7.0
677	2.5	2.5	3.5	1.5	6.0
687	5.5	4.0	5.5	5.5	6.0
1317	5.5	2.0	6.5	4.0	4.0
296	3.0	2.0	3.5	4.0	4.5
1525	3.0	0.0	6.5	5.0	7.0
399	4.5	4.5	4.5	5.5	6.5
376	2.5	3.0	6.5	4.0	5.0
460	1.0	5.0	5.0	2.5	5.0
1055	5.5	2.5	4.0	5.0	6.5
1385	3.5	1.0	3.5	6.0	4.5
138	3.5	4.5	3.0	3.5	5.5
1324	4.5	1.0	4.0	7.0	7.0
109	4.5	3.5	4.0	3.5	6.5
264	1.5	4.5	4.0	3.0	5.0
616	6.0	1.0	6.5	6.0	6.0
213	2.5	3.5	2.0	6.0	6.0
1127	2.0	2.5	4.5	3.0	5.0
539	5.5	3.0	5.5	3.0	6.5
865	1.0	6.0	7.0	5.5	5.5
504	7.0	3.5	4.0	6.0	6.5
613	1.0	0.5	6.0	3.0	4.0
1572	2.5	1.0	6.0	5.0	4.0
1603	5.0	3.0	3.5	4.5	6.0
817	5.0	2.5	3.5	3.5	5.5
472	4.5	0.5	3.0	2.5	6.5
1438	1.5	0.0	6.5	3.5	4.5
1471	1.0	0.5	3.0	3.5	3.0
463	5.0	4.5	4.0	3.0	3.5
763	5.0	3.5	4.0	4.0	5.5
1717	1.5	3.5	2.0	4.0	5.0
288	5.0	2.5	4.0	5.0	4.5
276	2.5	4.5	2.0	6.0	5.5
1098	3.0	1.5	2.5	6.0	5.0
959	6.5	0.5	6.5	6.5	6.5
444	4.0	1.5	4.0	5.5	6.0
499	4.0	1.5	3.5	5.0	5.0
1622	4.0	5.0	7.0	7.0	6.0
535	2.5	3.5	5.5	4.5	5.5
705	3.5	1.0	4.5	3.5	5.0
1299	1.5	2.5	4.0	6.5	7.0
1118	6.0	3.0	3.5	6.5	6.5
1409	5.5	2.0	4.0	6.5	4.5
1558	5.0	2.0	4.5	6.5	7.0
708	5.0	4.5	4.5	3.5	5.0
1363	4.0	1.5	3.5	7.0	6.5
856	2.5	2.0	5.0	2.5	4.5
1293	5.0	6.0	4.0	4.5	3.0
375	3.0	3.0	4.0	4.5	4.0
909	1.5	1.5	6.5	4.5	4.5
36	1.0	1.0	3.5	5.5	4.5
81	3.5	1.5	4.0	4.0	6.0
1047	6.5	1.5	3.0	3.0	5.0
403	4.5	0.0	4.0	6.0	4.5
20	3.0	1.5	5.5	5.5	5.5
61	3.0	1.5	3.5	5.0	5.0
1210	4.5	2.5	4.5	4.5	6.0
191	1.5	1.0	4.0	5.0	3.5
1275	6.5	4.5	3.5	3.5	7.0
