5618	0	1	0	0	1
53125	0	0	1	0	1
88810	0	1	0	0	1
8665	0	1	0	0	1
8491	0	0	0	0	1
3462	0	1	0	1	1
1214	0	0	0	0	1
6187	0	0	1	1	1
5952	0	1	0	0	1
112171	0	0	0	0	1
69844	0	1	0	0	1
1204	0	1	0	0	1
112290	1	0	1	1	1
109487	0	0	0	0	1
73881	0	1	1	0	1
1	0	0	1	0	1
112552	0	0	0	0	1
356	1	0	1	1	1
923	0	0	0	0	1
912	0	1	1	0	1
318	0	0	0	0	1
59421	0	1	0	0	1
3030	0	1	0	0	1
1212	0	1	0	0	1
1704	0	1	0	0	1
4993	0	0	0	0	1
63082	0	1	0	0	0
1945	0	0	0	0	1
4321	1	0	0	0	1
1225	0	1	0	0	1
924	0	0	1	0	1
5400	0	0	0	0	1
66371	0	1	0	0	0
111	0	1	0	1	1
97225	0	1	0	0	1
33660	0	1	0	0	1
2019	0	0	0	0	1
1288	0	0	0	0	1
5995	0	1	0	0	1
858	0	0	1	0	1
595	0	1	0	0	1
1198	0	0	0	0	1
50	0	0	0	0	1
79132	0	0	0	0	1
104879	0	1	0	0	1
3275	0	0	1	1	1
104944	0	1	1	0	1
922	0	1	1	1	1
2710	0	0	1	0	1
4011	0	1	0	0	1
98154	1	0	0	1	1
5630	0	1	1	0	1
32	0	0	0	0	1
1219	0	1	1	1	1
527	0	1	0	0	1
100244	0	0	0	0	1
66371	0	1	0	0	0
33615	1	0	1	1	1
69844	0	1	0	0	1
940	0	1	0	1	1
2916	0	0	1	0	1
7143	0	0	0	0	1
30749	0	0	1	0	1
527	0	1	0	0	1
8228	0	0	0	0	1
80549	1	1	0	0	0
7361	0	0	0	1	1
47610	0	0	1	0	1
54001	0	1	0	0	1
5291	0	1	0	0	1
608	0	1	0	0	1
72226	0	0	0	0	1
68157	0	1	0	0	1
102716	0	0	1	0	1
48516	0	0	0	0	1
1584	0	0	1	0	1
33863	1	0	1	0	1
750	0	0	0	0	1
55290	0	1	0	0	1
97304	0	0	0	0	1
3176	1	1	0	0	1
1276	1	0	0	1	1
56152	0	0	1	1	1
104944	0	1	1	0	1
115617	0	1	0	0	1
8125	0	1	1	0	1
72011	1	1	1	0	1
2571	0	1	0	0	1
88810	0	1	0	0	1
1207	0	0	1	0	1
5618	0	1	0	0	1
1200	0	0	0	0	1
296	0	0	0	1	1
3307	0	0	0	0	1
99114	0	1	0	0	1
55290	0	1	0	0	1
7766	0	0	0	0	1
56607	0	0	1	0	1
3435	0	1	0	0	1
3996	0	1	0	0	1
119145	0	1	0	0	1
2571	0	1	0	0	1
